Clients Requests_per_sec
0 
20     6417.73 [#/sec] (mean)
40     8228.62 [#/sec] (mean)
60     9101.06 [#/sec] (mean)
80     9034.65 [#/sec] (mean)
100     8586.63 [#/sec] (mean)
120     7830.07 [#/sec] (mean)
140     8085.89 [#/sec] (mean)
160     5102.94 [#/sec] (mean)
180     5263.83 [#/sec] (mean)
200     5594.39 [#/sec] (mean)
